"","site","genotype","array","tag_number","T0","timepoint","growth","number_branches","sa","volume","tle","sav"
"1","Daves","31","11","101",9.973947,"T1",6.153908,6,47.63625,12.475038,16.127855,3.81852544256779
"2","Daves","31","11","101",9.973947,"T2",18.679118,16,91.37616,23.470125,34.806973,3.89329669100612
"3","Daves","31","11","101",9.973947,"3",25.354936,19,179.936279,39.116095,60.161909,4.60005731655985
"4","Daves","1","11","102",8.351011,"T1",0.563029,0,27.533243,6.663877,8.91404,4.13171536629503
"5","Daves","1","11","102",8.351011,"T2",3.262526,3,37.80761,12.407041,12.176566,3.04727049745382
"6","Daves","1","11","102",8.351011,"3",3.629054,12,55.11454,13.910489,15.80562,3.96208501369003
"7","Daves","50","11","104",8.368973,"T1",4.724238,4,43.733776,12.359119,13.093211,3.538583615871
"8","Daves","44","11","108",7.973911,"T1",-0.231327,0,7.742584,2.698469,7.742584,2.86925067510503
"9","Daves","44","11","108",7.973911,"T2",-4.550861,0,10.549157,3.532913,3.191723,2.98596568893715
"10","Daves","44","11","108",7.973911,"3",2.518411,5,17.907793,6.694894,5.710134,2.67484339557878
"11","Daves","13","11","109",9.430051,"T1",-7.390146,0,6.671021,2.008265,2.039905,3.32178323079872
"12","Daves","13","11","109",9.430051,"T2",0.151225,0,8.1457,2.687111,2.19113,3.03139691661416
"13","Daves","13","11","109",9.430051,"3",4.081669,5,14.065687,4.058833,6.272799,3.46545102988963
"14","Daves","7","12","111",8.356634,"T1",1.398862,0,46.335011,16.257368,9.755496,2.85009301628652
"15","Daves","7","12","111",8.356634,"T2",5.006334,4,57.951477,20.564399,14.76183,2.81804865777988
"16","Daves","7","12","111",8.356634,"3",11.202502,6,94.012703,30.68389,25.964332,3.06391083399139
"17","Daves","41","12","112",8.595634,"3",16.083964,9,109.356117,25.139065,36.688224,4.35004710795728
"18","Daves","1","12","113",7.770432,"T1",1.974749,2,27.707504,7.997316,9.745181,3.46460037342528
"19","Daves","1","12","113",7.770432,"T2",5.593872,6,51.801956,17.234788,15.339053,3.00566250075139
"20","Daves","1","12","113",7.770432,"3",13.734261,13,91.771446,27.030931,29.073314,3.39505309676533
"21","Daves","44","12","114",8.069067,"T1",-1.648269,1,21.901802,8.347831,6.420798,2.62365182045492
"22","Daves","44","12","114",8.069067,"T2",1.284173,1,29.475248,12.346143,7.704971,2.38740536214427
"23","Daves","44","12","114",8.069067,"3",3.90074,6,40.315834,14.17984,11.605711,2.8431797537913
"24","Daves","31","12","116",7.548528,"T1",4.630706,2,41.921684,11.699619,12.179234,3.58316659713449
