"","site","timepoint","genotype","array","tag_number","number_branches","sa","volume","tle","sav","breakage","growth","initial_tle","initial_sa","initial_vol","initial_sav"
"1","Daves","3","31","11","101",19,179.936279,39.116095,60.161909,4.60005731655985,0,25.354936,9.973947,30.0083273198635,6.8979917473096,4.35029910431069
"2","Daves","3","1","11","102",12,55.11454,13.910489,15.80562,3.96208501369003,0,3.629054,8.351011,22.9606301329214,4.75752476417912,4.8261714380972
"3","Daves","3","50","11","104",0,11.821035,2.964593,3.502566,3.98740569110161,0,NA,8.368973,24.5353921686867,5.26948328471965,4.65612866442408
"4","Daves","3","44","11","108",5,17.907793,6.694894,5.710134,2.67484339557878,0,2.518411,7.973911,20.5500941399539,3.95332899561469,5.19817454169626
"5","Daves","3","13","11","109",5,14.065687,4.058833,6.272799,3.46545102988963,0,4.081669,9.430051,27.8597128742587,6.04770577855314,4.60665811042876
"6","Daves","3","7","12","111",6,94.012703,30.68389,25.964332,3.06391083399139,0,11.202502,8.356634,34.0759634502606,10.3303997036779,3.29861035658947
"7","Daves","3","41","12","112",9,109.356117,25.139065,36.688224,4.35004710795728,1,16.083964,8.595634,25.146653822757,5.49549323759106,4.57586839535079
"8","Daves","3","1","12","113",13,91.771446,27.030931,29.073314,3.39505309676533,0,13.734261,7.770432,22.4773807334876,4.91972201116134,4.56883146700024
"9","Daves","3","44","12","114",6,40.315834,14.17984,11.605711,2.8431797537913,0,3.90074,8.069067,27.848955960527,3.03467540710448,9.17691424108482
"10","Daves","3","31","12","116",11,135.683548,31.579247,45.769519,4.29660491904699,0,22.502017,7.548528,23.3538523055691,4.86459893057916,4.80077651597656
"11","Daves","3","3","12","117",9,63.4398,19.54277,16.078645,3.24620307151954,0,7.853074,7.280578,22.0372753310957,4.77719297890572,4.61301760854209
"12","Daves","3","36","12","118",1,21.307865,5.300708,6.471174,4.01981490019824,0,1.277941,8.524968,25.2819778429058,5.62479525434043,4.49473744371348
"13","Daves","3","50","12","119",10,41.925243,9.297899,18.25476,4.50910931598633,0,NA,7.416405,20.2484216960386,4.03210971525232,5.02179333549497
"14","Daves","3","13","12","120",0,5.067353,1.237766,2.787441,4.09395071443229,5,-8.512204,7.824861,19.9860975372938,3.74922701844874,5.33072482379665
"15","Daves","3","7","13","121",3,39.692478,8.865029,13.528553,4.47742223967908,0,1.960419,6.83135,21.6401670574162,4.81357589747307,4.49565302767458
"16","Daves","3","36","13","122",4,30.641256,8.025906,11.254944,3.81779402848725,0,1.52905,8.965698,32.5235251449308,8.38453303344351,3.87899063850112
"17","Daves","3","41","13","124",5,35.403782,8.658607,12.356947,4.08885424641631,0,4.615033,8.562816,24.2310419226689,4.70079960046724,5.15466388319562
"18","Daves","3","44","13","125",9,98.358841,22.196875,34.096074,4.43120218499226,0,15.3419881,9.037957,24.4596047853133,4.82673074662361,5.06753039879492
"19","Daves","3","62","13","126",0,10.344016,4.257553,1.907104,2.42956834594895,5,-17.646015,7.480359,22.178668938838,4.65453222554993,4.7649619476461
"20","Daves","3","13","13","127",0,9.737983,2.018868,3.510168,4.8234867262248,0,NA,7.696587,20.9653787519652,3.92822678526929,5.33711007485226
"21","Daves","3","1","13","128",16,95.934479,23.065874,30.021329,4.1591521309793,0,9.14777299999999,8.849915,29.4044354529619,6.6699316936951,4.40850623414285
"22","Daves","3","50","13","129",11,90.479385,23.413851,29.9808,3.86435298490624,0,7.235875,8.098215,26.5509187035609,5.82834358208435,4.55548275931696
"23","Daves","3","31","13","130",0,11.041291,2.9126,3.037331,3.79087104305432,0,-0.86019,9.212535,32.8587360786967,8.04908212594432,4.0822960387973
"24","Daves","3","44","14","131",14,75.324692,20.907923,22.256627,3.6026865031022,0,10.016338,9.347461,30.2799514343061,6.93785997954558,4.36445121746165
