group,ID,sgs,scs,int,slope,r2
Daves101,101,91.285,7.621258897,257.3191333,-21.78565714,0.964263052
Daves102,102,90.22466667,7.264701301,274.8361556,-25.41212381,0.981398708
Daves103,103,52.55166667,7.307647481,263.3839778,-28.85091429,0.983898718
Daves105,105,83.25566667,7.072133825,266.0296444,-25.84424762,0.984248111
Daves108,108,55.50433333,7.023429686,274.3137333,-31.15420952,0.989817639
Daves109,109,113.4553333,6.74770605,197.2350444,-12.41602857,0.854033104
Daves111,111,80.127,8.112928516,280.441,-24.69071429,0.993021729
Daves112,112,73.823,6.490986154,251.6062889,-27.38925714,0.971237439
Daves113,113,84.69833333,6.884941156,273.1987111,-27.37864762,0.982066985
Daves114,114,85.63833333,6.599757781,276.7308,-28.95446667,0.994815366
Daves115,115,85.98333333,6.157495289,277.2812889,-31.06749524,0.988961607
Daves116,116,97.738,6.325018485,279.6611333,-28.76246667,0.988076294
Daves117,117,61.14333333,7.217191764,266.1063556,-28.39927619,0.979195119
Daves118,118,108.5356667,5.447730152,253.3964667,-26.5910381,0.98641944
Daves119,119,96.129,5.771675272,230.6600444,-23.3088381,0.924448031
Daves120,120,159.079,5.220660072,287.4566222,-24.59030476,0.984897225
Daves121,121,69.20133333,7.645684209,239.5540222,-22.28089524,0.966691216
Daves122,122,144.9746667,5.576600846,264.6624889,-21.46250476,0.986149041
Daves124,124,88.297,7.417544699,210.2151556,-16.43645714,0.978188129
Daves125,125,96.552,6.782535485,256.5981333,-23.5968,0.969942495
Daves126,126,92.55066667,5.859612248,280.9296667,-32.14871429,0.986790833
Daves127,127,86.047,5.637633883,242.8218667,-27.80862857,0.985353722
Daves128,128,102.3266667,5.20966848,306.9682,-39.28110476,0.971358816
Daves129,129,116.9696667,5.739767341,278.3352444,-28.11360952,0.993800194
Daves130,130,107.0873333,5.981025595,264.0546222,-26.24420952,0.991794591
Daves131,131,99.68366667,6.845539789,279.5444222,-26.27415238,0.992048114
Daves132,132,96.92566667,6.76749642,266.0092444,-24.98465714,0.984145427
Daves133,133,73.684,6.09975747,270.8483778,-32.32331429,0.986597087
Daves134,134,133.0863333,4.891117663,287.2028889,-31.50947619,0.992356425
Daves135,135,123.2733333,5.22210643,276.2761778,-29.29906667,0.990775953
Daves136,136,91.433,7.229013262,285.2484222,-26.81077143,0.989098238
Daves137,137,84.334,6.547577375,278.9363556,-29.72127619,0.989211047
Daves138,138,161.5193333,4.271105072,292.4998889,-30.66666667,0.988092975
Daves139,139,99.648,5.712744551,262.1694889,-28.44893333,0.984976781
Daves140,140,96.586,5.883490597,287.9493333,-32.52547619,0.991276297
Daves141,141,84.55233333,7.309054894,285.5064444,-27.49385714,0.993666874
Daves142,142,117.3956667,5.744819986,282.5900444,-28.7553619,0.991808373
Daves143,143,82.1745,6.904796733,277.6836222,-28.31497143,0.991517258
Daves144,144,85.4,6.948292325,279.2185778,-27.89441905,0.992268424
Daves145,145,112.8,5.978293665,280.4327778,-28.0402381,0.985938627
Daves148,148,115.2076667,5.492978859,279.0041111,-29.8192381,0.992802998
Daves149,149,91.08266667,6.915507375,261.0507556,-24.57781905,0.98244188
Daves150,150,103.0306667,5.680357075,269.7830667,-29.35597143,0.984001661
Daves151,151,90.731,6.426975332,258.4054,-26.0891619,0.977930828
Daves152,152,97.08266667,6.237947703,266.3994,-27.14301905,0.983931031
Daves153,153,83.43333333,5.696850509,238.2054222,-27.16800952,0.972866296
Daves154,154,73.02933333,7.176163133,263.1310889,-26.49072381,0.983707599
Daves156,156,114.3113333,6.168551971,269.7791111,-25.20328571,0.985642765
Daves157,157,74.78566667,5.591469182,247.7878,-30.94037143,0.984246318
Daves158,158,121.684,5.858321463,274.7994889,-26.13640952,0.989202924
Daves159,159,98.32433333,5.2514219,249.8088,-28.84637143,0.983104847
Daves160,160,105.505,4.778669489,222.6145333,-24.50672381,0.969129302
Daves161,161,103.4526667,6.259679732,245.6717556,-22.71986667,0.973083845
Daves162,162,133.955,4.677812429,263.1089111,-27.60989524,0.985476986
Daves163,163,82.62533333,5.411083275,246.7567333,-30.33244762,0.976641163
Daves165,165,119.9523333,5.350153328,267.4468889,-27.56828571,0.98424831
Daves166,166,120.073,4.601325823,281.5954,-35.10344762,0.989723169
Daves167,167,82.413,5.830792065,260.9205333,-30.61462857,0.984756902
Daves168,168,106.3273333,6.229155348,270.9922667,-26.43455238,0.985636856
Daves169,169,86.097,5.221601635,240.7805333,-29.62377143,0.934966028
Daves170,170,93.36866667,5.933353226,271.38,-30.00180952,0.987245414
Daves171,171,91.47033333,6.586587945,253.9630889,-24.67024762,0.989256885
Daves172,172,82.32566667,0.551674567,69.1572,23.86999048,0.977302592
Daves173,173,95.04933333,6.38914091,269.4386222,-27.2946381,0.975496345
Daves174,174,91.26366667,6.103746745,245.9910889,-25.34958095,0.976821754
Daves175,175,106.3396667,6.543164884,260.1119556,-23.50120952,0.980352143
Daves176,176,118.5516667,5.012456098,247.0775333,-25.64129524,0.970015141
Daves179,179,95.11366667,5.580649581,271.7653556,-31.65432381,0.986036501
Daves181,181,96.411,7.486490314,260.8971778,-21.97106667,0.978895746
Daves182,182,176.1,2.376919047,251.6822,-31.79839048,0.971729438
Daves183,183,83.60366667,5.694264584,228.0559333,-25.36802857,0.960071433
Daves184,184,72.921,7.859492349,230.9413333,-20.10566667,0.980387326
Daves185,185,84.489,7.957242578,245.9582,-20.29210476,0.972868936
Daves186,186,55.551,7.05414941,236.8779778,-25.70500952,0.979643084
Daves187,187,118.7596667,5.014428535,267.9539111,-29.75299048,0.983654335
Daves189,189,77.302,6.454647248,244.0142889,-25.82825714,0.922690629
Daves190,190,72.713,6.203997061,239.8661111,-26.94280952,0.969318798
Daves191,191,111.0853333,5.307276003,270.5494667,-30.04632381,0.984984501
Daves195,195,104.3823333,5.380128049,251.5057778,-27.34571429,0.964829652
