group,ID,sgs,scs,int,slope,r2
Daves101,101,212.9226667,0.714466688,231.1116889,-25.45818095,0.912366841
Daves102,102,181.3726667,2.107830375,237.7211556,-26.73293333,0.976316734
Daves103,103,196.4613333,1.482447063,240.3933556,-29.6348,0.965878213
Daves104,104,172.639,2.428093457,244.9339333,-29.7743619,0.961032471
Daves104,104,172.639,2.428093457,244.9339333,-29.7743619,0.961032471
Daves108,108,183.8213333,2.330049166,241.3049333,-24.67055238,0.972859107
Daves109,109,168.4503333,2.511043264,234.8412889,-26.43959048,0.973085743
Daves111,111,193.907,1.514566927,231.2493111,-24.6554381,0.972834711
Daves112,112,210.457,0.893746291,235.2356222,-27.72444762,0.951099236
Daves113,113,199.881,1.494765115,240.4425333,-27.13572381,0.973271158
Daves114,114,200.6313333,1.868837066,246.2252444,-24.39694286,0.97150062
Daves115,115,202.9233333,1.571938543,256.4453556,-34.04841905,0.955690243
Daves116,116,224.009,1.348756821,256.6916,-24.23164762,0.987384875
Daves117,117,190.7673333,1.670551008,237.5483778,-28.0033619,0.962878529
Daves118,118,193.769,1.954102847,248.7644889,-28.1436,0.975118781
Daves121,121,196.0783333,1.43726055,234.0455556,-26.41638095,0.955121862
Daves125,125,210.916,1.53699325,254.7151111,-28.49661905,0.983221965
Daves127,127,179.5213333,1.720533964,225.6361333,-26.80260952,0.969949188
Daves128,128,216.8373333,1.187977254,249.8388889,-27.77961905,0.967981165
Daves129,129,212.424,1.270818356,246.7352,-26.99929524,0.949953704
Daves130,130,197.8203333,2.164671187,253.9176222,-25.91492381,0.981060361
Daves131,131,206.0553333,1.509616839,243.8911333,-25.06318095,0.969568873
Daves132,132,180.0286667,2.036390677,234.4026444,-26.70115238,0.980143444
Daves133,133,186.596,1.574810746,225.8534222,-24.92834286,0.970870046
Daves134,134,207.971,1.157303797,237.8959333,-25.85745714,0.975723258
Daves135,135,186.3683333,2.436032578,260.0734222,-30.2562,0.988259363
Daves136,136,198.7226667,2.114203483,258.1307778,-28.09952381,0.959493639
Daves137,137,207.7366667,1.946990293,262.6415333,-28.19986667,0.97883492
Daves138,138,191.1276667,1.913187166,240.7206667,-25.92166667,0.974676893
Daves140,140,193.2476667,1.724101397,242.1701111,-28.37561905,0.98182267
Daves141,141,191.2153333,1.759188457,241.8895778,-28.80546667,0.968815488
Daves142,142,203.086,2.389474648,264.5773778,-25.73426667,0.981646944
Daves144,144,184.5576667,1.662629984,233.0889333,-29.18945714,0.98709052
Daves145,145,208.818,1.561562897,250.2643778,-26.5416,0.975207111
Daves146,146,198.9133333,1.529428193,240.8976667,-27.451,0.973800508
Daves148,148,179.7503333,3.143777827,269.0876667,-28.41719048,0.988498925
Daves149,149,207.78,1.859712816,256.8290222,-26.37451429,0.981061941
Daves150,150,194.7316667,1.584008151,242.628,-30.23742857,0.939789844
Daves151,151,213.02,0.810865212,234.4269111,-26.40008571,0.96356934
Daves152,152,199.6483333,1.297111443,233.4184444,-26.03485714,0.995806566
Daves153,153,214.7876667,0.62584648,230.9111111,-25.76261905,0.960773237
Daves157,157,178.2163333,1.96646228,232.4285333,-27.56839048,0.969496017
Daves158,158,200.5553333,1.692514522,246.9044889,-27.38479048,0.973394937
Daves159,159,226.3333333,1.232431546,260.6532889,-27.84735238,0.977042651
Daves160,160,178.2223333,1.893996176,231.8225333,-28.30005714,0.966039366
Daves161,161,176.548,1.970281986,230.2586,-27.2603619,0.972758829
Daves166,166,191.2913333,2.346806878,253.7402667,-26.61017143,0.980204104
Daves167,167,183.7436667,1.789886553,232.9851333,-27.51094286,0.967819843
Daves168,168,166.9346667,2.252111674,230.4594444,-28.2067619,0.972140427
Daves169,169,177.8943333,1.31309801,209.8093556,-24.30513333,0.945439904
Daves170,170,216.382,0.939965155,241.5164444,-26.7397619,0.973068111
Daves171,171,190.0243333,1.111806225,217.3065333,-24.53862857,0.963549388
Daves172,172,164.6126667,1.911077287,211.8814889,-24.73412381,0.97112669
Daves173,173,199.1883333,1.405441021,234.7896,-25.33102857,0.977270328
Daves174,174,208.182,1.383134874,241.5541333,-24.12789524,0.98518902
Daves175,175,167.0273333,1.41790353,199.4941778,-22.89778095,0.952637452
Daves176,176,172.461,2.076177419,230.9719111,-28.1820381,0.933345412
Daves177,177,205.139,0.519441524,218.5788222,-25.8736,0.962928417
Daves181,181,179.855,1.882728521,229.4827556,-26.35948571,0.98039218
Daves183,183,182.167,1.519318917,220.1317556,-24.98800952,0.929973112
Daves184,184,199.5306667,1.36436976,232.3468,-24.05222857,0.949873481
Daves185,185,169.639,1.597097931,207.8106444,-23.90062857,0.969773062
Daves186,186,179.8036667,2.034116476,230.9546444,-25.14653333,0.98182002
Daves187,187,174.4223333,1.742642473,220.0504889,-26.18331429,0.965557594
Daves188,188,138.618,2.070231323,182.8369778,-21.3594381,0.942629492
Daves189,189,177.3036667,1.832092376,225.8241556,-26.48364762,0.962778617
Daves190,190,154.6376667,1.826845981,196.3816889,-22.85032381,0.948745575
Daves191,191,187.6713333,1.684544162,232.9490889,-26.87834286,0.975949775
Daves196,196,198.5106667,1.005185001,225.2423556,-26.5938,0.958560089
Daves197,197,176.8666667,1.539498763,219.2164889,-27.5088381,0.946596381
Daves198,198,158.553,2.198167887,217.446,-26.79185714,0.981057194
Daves199,199,134.5086667,2.761081326,210.0413333,-27.35619048,0.934346531
Daves200,200,174.2216667,1.310156536,211.8267778,-28.7027619,0.952358742
Looe100,100,171.3156667,2.171612263,232.2788,-28.07275238,0.968282661
Looe12,12,194.9083333,2.446606117,256.2237778,-25.06142857,0.9765919
Looe13,13,166.009,2.473797125,228.9271556,-25.4338381,0.966098739
Looe14,14,183.4246667,2.491093098,246.6881111,-25.39585714,0.975721004
Looe15,15,131.9023333,3.508499483,225.812,-26.76633333,0.968385501
Looe17,17,150.52,2.304979587,214.9063778,-27.9336,0.961386502
Looe18,18,148.6586667,3.771495802,255.9847333,-28.4571619,0.982119111
Looe19,19,175.3383333,2.141888656,231.4443111,-26.19462857,0.983218648
Looe1,1,166.0096667,2.940644202,242.2273556,-25.91870476,0.972024173
Looe20,20,114.4403333,3.94066512,207.2624,-23.55492381,0.970366069
Looe21,21,163.62,2.306656082,228.0135778,-27.91641905,0.905713932
Looe24,24,181.9726667,1.749749158,226.3058444,-25.33687619,0.952119044
Looe25,25,182.5283333,2.232572769,247.5026222,-29.10287619,0.96929141
Looe26,26,145.8856667,3.880076041,246.5064222,-25.93267619,0.967514123
Looe27,27,199.2266667,1.626183566,240.3367111,-25.28007619,0.962714883
Looe28,28,143.788,3.741558221,233.9303333,-24.09219048,0.953386984
Looe29,29,183.684,1.469831191,220.4742667,-25.03026667,0.947203479
Looe30,30,189.7936667,1.935888198,241.0453111,-26.47448571,0.966320795
Looe31,31,195.4063333,2.696856549,272.1037778,-28.43957143,0.990961942
Looe32,32,146.5363333,3.679259632,243.5100889,-26.35686667,0.985552822
Looe33,33,197.7876667,2.83123894,270.5862889,-25.7126381,0.98888526
Looe34,34,116.66,4.405058191,242.5892444,-28.58741905,0.984929396
Looe35,35,97.24966667,6.354577456,267.0301778,-26.71782857,0.989316336
Looe36,36,179.649,3.227346641,260.9462,-25.19010476,0.990746491
Looe37,37,111.4563333,4.30011491,231.0390889,-27.8092,0.985664221
Looe39,39,136.088,3.551807014,233.2771778,-27.36330476,0.975202374
